,masked_other_tab_click,masked_shop_click_from_search,shop_L180D_order,shop_follower_number,masked_item_impression,Score
94207,3545.0,16.0,50819,39504,44860934416.0,2034669925.0524273
13237,2324.0,9.0,68590,5409,48027160801.0,2178270973.402333
32905,1422.0,4.0,75532,11484,53297263044.0,2417296534.2238293
87742,5767.0,25.0,44384,120378,59484283236.0,2697918588.0278325
83751,1279.0,49.0,72399,156951,61304274409.0,2780471787.3623214
51658,5459.0,169.0,71047,18024,62900138401.0,2852833922.4645143
100522,1367.0,9.0,153246,16548,67444090000.0,3058935719.2315264
50739,5107.0,1764.0,100843,125949,67481491984.0,3060640218.5527716
12928,2995.0,100.0,405,2319,71389427344.0,3237847603.50209
42001,2181.0,25.0,229530,62265,80196576100.0,3637340780.1475453
109844,4337.0,169.0,405,3396,108816000000.0,4935319238.683266
7091,7318.0,196.0,155924,57981,117045000000.0,5308578804.42985
15227,5580.0,100.0,252774,317862,124597000000.0,5651149673.293991
97123,3468.0,9.0,194716,96021,149332000000.0,6772956281.353465
109717,1785.0,25.0,405,13326,309228000000.0,14024945268.140709
89988,3391.0,676.0,341785,67635,403233000000.0,18288581070.59831
107094,4249.0,529.0,322415,287028,504631000000.0,22887484288.276226
84336,5811.0,81.0,121747,43656,530524000000.0,24061785453.30254
5648,6801.0,361.0,593179,127050,569700000000.0,25838694708.25993
95290,6361.0,100.0,386856,36738,597500000000.0,27099506820.963493
88641,3633.0,484.0,259781,49110,1015510000000.0,46058202858.95334
55068,15788.0,1600.0,1004460,285639,1687540000000.0,76538087691.84334
60871,16107.0,34969.0,770031,486765,2326390000000.0,105512931546.0469
87234,35401.0,42436.0,1694097,787242,5070100000000.0,229953281667.2842
