shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex,GBDT_label,GBDT_probs
4936005,0.0,0.0,0.0,0.0,6.0,0.0,24.0,1237.0,1545.0,821.0,4.0,2,0.51,4936005,0,0.7910867573249691
4945500,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1138.0,5328.0,470.0,4.0,0,0.85,4945500,0,0.7910867573249691
5006160,0.0,0.0,0.0,0.0,9.0,0.0,2.0,247.0,1245.0,405.0,4.0,0,0.95,5006160,0,0.7910867573249691
5104890,0.0,0.0,0.0,0.0,1.0,0.0,1.0,313.0,1059.0,405.0,4.74436090225564,0,0.9,5104890,0,0.80791934985067
5162670,0.0,0.0,0.0,0.0,9.0,0.0,1.0,258.0,1053.0,405.0,4.966165413533835,0,0.96,5162670,0,0.7910867573249691
5342625,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2755.0,2772.0,3369.0,4.0,1,0.55,5342625,0,0.7910867573249691
5410485,0.0,0.0,0.0,0.0,8.0,0.0,1.0,247.0,1149.0,405.0,1.0,0,0.93,5410485,0,0.7910867573249691
5440950,0.0,0.0,0.0,0.0,6.0,0.0,2.0,346.0,1023.0,691.0,5.0,0,0.94,5440950,0,0.7910867573249691
5452290,0.0,0.0,0.0,0.0,3.0,0.0,20.0,555.0,1431.0,2992.0,5.0,1,0.89,5452290,0,0.7910867573249691
5461110,0.0,0.0,0.0,0.0,20.0,0.0,3.0,247.0,1209.0,405.0,4.44360902255639,0,0.92,5461110,0,0.7910867573249691
5464710,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1059.0,405.0,5.0,0,0.95,5464710,0,0.7910867573249691
5474205,0.0,0.0,0.0,0.0,20.0,0.0,2.0,247.0,1146.0,405.0,0.0,0,0.92,5474205,0,0.9101013615354286
5536845,0.0,0.0,0.0,0.0,9.0,0.0,1.0,247.0,1038.0,405.0,4.879699248120301,0,0.94,5536845,0,0.7910867573249691
5541975,0.0,0.0,0.0,0.0,8.0,0.0,3.0,478.0,981.0,405.0,5.0,0,0.96,5541975,0,0.7910867573249691
5548590,0.0,0.0,0.0,0.0,15.0,0.0,2.0,2425.0,1596.0,834.0,4.0,2,0.45,5548590,0,0.7910867573249691
5564340,0.0,0.0,0.0,0.0,3.0,0.0,9.0,390.0,1170.0,912.0,5.0,0,0.97,5564340,0,0.7910867573249691
5598270,1.0,0.0,0.0,0.0,6.0,0.0,30.0,3151.0,45927.0,12599.0,4.0,1,0.55,5598270,0,0.8119116327923376
5600025,0.0,0.0,0.0,0.0,9.0,0.0,13.0,401.0,1620.0,405.0,4.0,0,0.89,5600025,0,0.7910867573249691
5641020,0.0,0.0,0.0,0.0,20.0,0.0,5.0,3547.0,13470.0,1653.0,2.0,0,0.75,5641020,0,0.7910867573249691
5665185,0.0,0.0,0.0,0.0,8.0,0.0,6.0,302.0,1590.0,1172.0,3.0,0,0.79,5665185,0,0.7910867573249691
5801670,0.0,0.0,0.0,0.0,14.0,0.0,16.0,1017.0,9375.0,4344.0,4.0,0,0.68,5801670,0,0.7910867573249691
5819805,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1044.0,405.0,2.0488721804511276,0,0.92,5819805,0,0.7910867573249691
5882220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,533.0,1257.0,405.0,4.0,0,0.83,5882220,0,0.8013022647801775
