shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex
314265645,0.0,0.0,0.0,0.0,8.0,0.0,1.0,324.0,1155.0,405.0,5.0,0,0.96,314265645
314343540,0.0,0.0,0.0,0.0,6.0,0.0,3.0,313.0,993.0,405.0,5.0,0,0.97,314343540
314356410,0.0,0.0,0.0,0.0,20.0,1.0,11.0,346.0,999.0,405.0,4.7406015037593985,0,0.92,314356410
314384400,0.0,0.0,0.0,0.0,9.0,0.0,1.0,280.0,1188.0,405.0,5.0,0,0.95,314384400
314507565,0.0,0.0,0.0,0.0,20.0,0.0,2.0,280.0,987.0,405.0,4.849624060150376,0,0.94,314507565
314514315,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1116.0,1137.0,912.0,5.0,2,0.53,314514315
314545050,0.0,0.0,0.0,0.0,8.0,0.0,2.0,412.0,1707.0,405.0,4.0,0,0.92,314545050
314604225,0.0,0.0,0.0,0.0,3.0,0.0,1.0,269.0,999.0,405.0,5.0,0,0.96,314604225
314635005,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,987.0,405.0,4.349624060150377,0,0.92,314635005
314726985,0.0,0.0,0.0,0.0,6.0,0.0,1.0,269.0,1137.0,613.0,4.0,0,0.95,314726985
314775855,0.0,0.0,0.0,0.0,20.0,0.0,1.0,313.0,978.0,535.0,5.0,0,0.89,314775855
314855280,0.0,0.0,0.0,0.0,6.0,0.0,1.0,401.0,1050.0,405.0,5.0,0,0.98,314855280
315015660,0.0,0.0,0.0,0.0,6.0,1.0,4.0,269.0,984.0,405.0,4.842105263157896,0,0.98,315015660
315231390,0.0,0.0,0.0,0.0,9.0,0.0,3.0,280.0,1023.0,405.0,4.785714285714286,0,0.94,315231390
315318240,0.0,0.0,0.0,0.0,4.0,0.0,6.0,335.0,1014.0,405.0,5.0,0,0.98,315318240
315357660,0.0,0.0,0.0,0.0,3.0,0.0,1.0,401.0,1272.0,1107.0,5.0,0,0.85,315357660
315362925,0.0,0.0,0.0,0.0,0.0,0.0,21.0,291.0,1080.0,1302.0,4.0,0,0.67,315362925
315382995,0.0,0.0,0.0,0.0,20.0,0.0,3.0,247.0,1122.0,405.0,2.067669172932331,0,0.93,315382995
315397935,0.0,0.0,0.0,0.0,3.0,0.0,4.0,445.0,2940.0,2472.0,5.0,1,0.49,315397935
315478395,0.0,0.0,0.0,0.0,20.0,0.0,1.0,324.0,984.0,457.0,5.0,0,0.92,315478395
315510030,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,975.0,405.0,4.593984962406016,0,0.92,315510030
315521100,0.0,0.0,1.0,0.0,3.0,0.0,28.0,1556.0,1374.0,405.0,5.0,2,0.63,315521100
315671940,0.0,0.0,0.0,0.0,8.0,0.0,2.0,368.0,1026.0,405.0,5.0,0,0.95,315671940
315694620,0.0,0.0,0.0,1.0,10.0,0.0,9.0,313.0,1140.0,405.0,4.0,0,0.84,315694620
315728010,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,999.0,405.0,4.7781954887218046,0,0.95,315728010
315752490,0.0,0.0,0.0,0.0,19.0,0.0,14.0,6352.0,2700.0,3980.0,4.0,3,0.4,315752490
315777915,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1303.0,2289.0,405.0,4.0,0,0.52,315777915
316044045,0.0,0.0,0.0,0.0,3.0,0.0,3.0,247.0,975.0,405.0,5.0,0,0.95,316044045
316119060,0.0,0.0,0.0,0.0,20.0,0.0,29.0,478.0,999.0,1575.0,4.0,1,0.58,316119060
316129995,0.0,0.0,0.0,0.0,8.0,0.0,22.0,456.0,2643.0,5891.0,4.0,1,0.84,316129995
316172025,0.0,0.0,0.0,0.0,20.0,0.0,24.0,434.0,4644.0,2472.0,5.0,0,0.5,316172025
316188855,0.0,0.0,0.0,0.0,8.0,0.0,1.0,500.0,1656.0,405.0,5.0,0,0.91,316188855
316273095,0.0,0.0,0.0,0.0,6.0,0.0,1.0,368.0,1014.0,405.0,1.744360902255639,0,0.93,316273095
316375020,0.0,0.0,0.0,0.0,20.0,0.0,10.0,830.0,1254.0,808.0,5.0,0,0.76,316375020
316388745,0.0,0.0,0.0,0.0,14.0,0.0,1.0,258.0,972.0,405.0,4.951127819548872,0,0.97,316388745
316444860,0.0,0.0,0.0,0.0,9.0,0.0,1.0,291.0,984.0,405.0,4.842105263157895,0,0.95,316444860
316490445,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1633.0,1650.0,2615.0,4.0,1,0.43,316490445
316531440,0.0,0.0,0.0,0.0,7.0,0.0,8.0,599.0,2223.0,1419.0,4.0,0,0.82,316531440
316536885,0.0,0.0,0.0,0.0,0.0,1.0,22.0,577.0,975.0,405.0,4.526315789473683,0,0.86,316536885
316655865,0.0,0.0,0.0,0.0,8.0,0.0,1.0,269.0,996.0,405.0,4.7593984962406015,0,0.96,316655865
316657485,0.0,0.0,0.0,0.0,8.0,0.0,15.0,1127.0,2046.0,405.0,5.0,0,0.5,316657485
316728360,0.0,0.0,1.0,0.0,6.0,0.0,28.0,2920.0,1572.0,11650.0,4.0,1,0.58,316728360
316759410,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,975.0,405.0,4.627819548872181,0,0.92,316759410
316765395,0.0,0.0,0.0,0.0,9.0,0.0,1.0,247.0,1005.0,405.0,5.0,0,0.97,316765395
316781865,0.0,0.0,0.0,0.0,1.0,0.0,5.0,533.0,4662.0,1445.0,5.0,0,0.78,316781865
316800765,0.0,0.0,0.0,0.0,6.0,0.0,1.0,588.0,1017.0,405.0,5.0,0,0.97,316800765
317023380,0.0,0.0,0.0,0.0,6.0,0.0,9.0,478.0,999.0,600.0,4.0,0,0.97,317023380
317045925,0.0,0.0,1.0,0.0,1.0,0.0,22.0,577.0,2094.0,8426.0,4.0,1,0.86,317045925
317079900,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,978.0,405.0,4.432330827067669,0,0.9,317079900
317116800,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,987.0,405.0,4.1578947368421035,0,0.92,317116800
317141280,0.0,0.0,0.0,0.0,8.0,0.0,6.0,346.0,990.0,405.0,5.0,0,0.97,317141280
317160225,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1006.0,1422.0,5956.0,4.0,1,0.72,317160225
317243205,0.0,0.0,0.0,0.0,8.0,0.0,2.0,313.0,1272.0,10402.0,4.0,1,0.61,317243205
317284200,0.0,0.0,0.0,0.0,20.0,0.0,4.0,467.0,987.0,626.0,5.0,0,0.91,317284200
317313675,0.0,0.0,0.0,0.0,0.0,1.0,13.0,258.0,975.0,405.0,4.906015037593984,0,0.94,317313675
317629800,0.0,0.0,0.0,0.0,3.0,0.0,20.0,280.0,990.0,470.0,5.0,0,0.86,317629800
317644200,0.0,0.0,0.0,0.0,14.0,0.0,1.0,632.0,6444.0,730.0,5.0,0,0.94,317644200
317662695,0.0,0.0,0.0,0.0,8.0,0.0,13.0,423.0,1059.0,405.0,5.0,0,0.94,317662695
317690460,0.0,0.0,0.0,0.0,16.0,0.0,21.0,335.0,981.0,405.0,5.0,0,0.87,317690460
317760975,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1501.0,3207.0,756.0,5.0,0,0.7,317760975
317801565,0.0,0.0,0.0,0.0,6.0,0.0,1.0,258.0,1011.0,405.0,4.808270676691729,0,0.95,317801565
317895840,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1035.0,405.0,3.8157894736842115,0,0.92,317895840
317898270,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,972.0,405.0,3.9285714285714293,0,0.9,317898270
318071970,0.0,0.0,1.0,0.0,15.0,0.0,30.0,984.0,4551.0,35193.0,4.0,1,0.89,318071970
318129210,0.0,0.0,0.0,0.0,19.0,0.0,1.0,588.0,975.0,405.0,4.0,0,0.9,318129210
318160440,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1002.0,405.0,4.432330827067669,0,0.93,318160440
318162780,0.0,0.0,0.0,0.0,8.0,0.0,1.0,346.0,1044.0,405.0,4.639097744360901,0,0.95,318162780
318182355,0.0,0.0,0.0,0.0,20.0,0.0,3.0,269.0,984.0,405.0,4.0,0,0.92,318182355
318368880,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1028.0,1107.0,613.0,5.0,0,0.51,318368880
318797235,0.0,0.0,0.0,0.0,20.0,0.0,5.0,258.0,1002.0,405.0,5.0,0,0.95,318797235
318850020,0.0,0.0,0.0,0.0,8.0,0.0,20.0,269.0,1575.0,405.0,4.0,0,0.84,318850020
319036410,0.0,0.0,0.0,0.0,4.0,0.0,24.0,918.0,1158.0,405.0,4.0,0,0.56,319036410
319099050,0.0,0.0,0.0,0.0,0.0,0.0,5.0,401.0,2268.0,405.0,5.0,0,0.79,319099050
319115655,0.0,0.0,0.0,0.0,8.0,1.0,1.0,269.0,978.0,405.0,4.883458646616541,0,0.96,319115655
