manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,kmeans.labels,agglomerative.average.labels,agglomerative.complete.labels,agglomerative.single.labels,agglomerative.ward.labels,meanshift.labels
0.0,0.0,0.0,0.0,8.0,0.0,30.0,9355.0,2745.0,12352.0,4.0,0,3,2,1,1,0
0.0,0.0,0.0,0.0,4.0,0.0,16.0,588.0,999.0,561.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,15.0,0.0,26.0,51683.0,13398.0,47179.0,4.0,0,3,3,1,1,0
0.0,0.0,1.0,1.0,4.0,0.0,30.0,48086.0,14817.0,46971.0,4.0,0,3,3,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,24.0,13535.0,28620.0,71632.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,5.0,0.0,30.0,27252.0,6849.0,8023.0,4.0,0,4,4,1,1,0
0.0,0.0,1.0,0.0,7.0,0.0,18.0,379.0,10566.0,16265.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,15.0,0.0,30.0,1545.0,60843.0,20997.0,4.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,20.0,0.0,30.0,4086.0,656739.0,1509835.0,4.0,2,1,2,0,0,10
1.0,1.0,0.0,0.0,9.0,0.0,30.0,566.0,32979.0,22830.0,5.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,4.0,0.0,30.0,3569.0,11193.0,15615.0,4.0,0,1,0,1,1,0
1.0,1.0,0.0,0.0,2.0,0.0,24.0,1248.0,5508.0,4721.0,4.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,6.0,0.0,30.0,753.0,42672.0,15875.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,20.0,0.0,30.0,5208.0,53265.0,78444.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,599.0,1212.0,2680.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,13.0,0.0,27.0,8585.0,139929.0,401338.0,4.0,4,1,2,3,3,4
0.0,0.0,1.0,1.0,13.0,0.0,30.0,6660.0,51696.0,151530.0,4.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,0.0,0.0,28.0,687.0,28620.0,89429.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,9.0,0.0,30.0,852.0,1236.0,483.0,4.0,0,0,1,1,1,0
0.0,0.0,1.0,0.0,20.0,0.0,26.0,874.0,2796.0,5072.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,30.0,1545.0,2931.0,405.0,4.0,0,0,1,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,797.0,93447.0,175762.0,5.0,0,1,2,1,1,1
0.0,0.0,1.0,1.0,20.0,0.0,30.0,2623.0,24912.0,73803.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,20.0,0.0,26.0,489.0,3840.0,9622.0,5.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,4.0,0.0,30.0,1952.0,30084.0,187592.0,4.0,0,1,2,1,1,1
1.0,1.0,0.0,0.0,20.0,0.0,26.0,2964.0,17496.0,81876.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,6.0,0.0,25.0,1809.0,131553.0,80355.0,4.0,0,0,0,1,1,6
0.0,0.0,1.0,1.0,15.0,0.0,30.0,4273.0,3621.0,14549.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,8.0,0.0,30.0,16659.0,240141.0,267087.0,4.0,4,1,0,3,3,1
1.0,0.0,1.0,0.0,8.0,0.0,27.0,907.0,234987.0,22180.0,4.0,0,0,0,1,1,6
1.0,1.0,0.0,0.0,20.0,0.0,28.0,3987.0,27603.0,28511.0,5.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,6.0,3943.0,21189.0,14224.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,15.0,0.0,20.0,29617.0,2277.0,10207.0,4.0,0,4,4,1,1,0
0.0,0.0,0.0,1.0,0.0,0.0,29.0,46469.0,10275.0,8010.0,4.0,0,4,4,1,1,0
0.0,0.0,0.0,0.0,7.0,0.0,28.0,588.0,3078.0,4617.0,4.0,0,1,0,1,1,0
1.0,0.0,1.0,0.0,11.0,0.0,30.0,2458.0,9183.0,62896.0,5.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,8.0,0.0,30.0,2942.0,34905.0,15251.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,3.0,0.0,30.0,445.0,1059.0,405.0,5.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,5.0,0.0,28.0,24854.0,11898.0,36389.0,4.0,0,3,2,1,1,0
0.0,0.0,1.0,1.0,1.0,0.0,26.0,60362.0,19692.0,30474.0,4.0,0,3,3,1,1,0
1.0,0.0,1.0,0.0,0.0,0.0,30.0,2040.0,32868.0,159252.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,3.0,0.0,28.0,973.0,26940.0,4981.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,1.0,0.0,30.0,731.0,10965.0,19190.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,20.0,0.0,30.0,13480.0,118713.0,539021.0,4.0,4,1,2,3,3,2
0.0,0.0,0.0,1.0,20.0,0.0,24.0,20839.0,12495.0,36558.0,4.0,0,3,2,1,1,0
0.0,0.0,0.0,1.0,8.0,0.0,30.0,10598.0,93138.0,70592.0,4.0,0,0,0,1,1,0
0.0,1.0,0.0,1.0,7.0,0.0,30.0,21521.0,182421.0,213085.0,4.0,4,1,0,3,3,1
1.0,1.0,0.0,0.0,6.0,0.0,22.0,621.0,9150.0,9778.0,5.0,0,1,0,1,1,0
0.0,0.0,0.0,1.0,13.0,0.0,9.0,4108.0,6231.0,3044.0,4.0,0,0,1,1,1,0
1.0,0.0,0.0,0.0,4.0,0.0,28.0,1435.0,19518.0,165570.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,20.0,0.0,20.0,14723.0,47931.0,36259.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,20.0,0.0,30.0,1358.0,15597.0,13951.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,10.0,280.0,1044.0,3863.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,1.0,0.0,8.0,467.0,1287.0,405.0,5.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,19.0,885.0,94755.0,11754.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,13.0,0.0,30.0,1787.0,22398.0,18449.0,4.0,0,0,0,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,4405.0,253779.0,540932.0,4.0,4,1,2,3,3,5
0.0,0.0,0.0,0.0,14.0,0.0,25.0,533.0,2055.0,16850.0,4.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,0.0,0.0,30.0,6253.0,32262.0,5020.0,4.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,1.0,0.0,30.0,235383.0,465885.0,1402650.0,5.0,2,1,2,0,0,18
0.0,0.0,0.0,1.0,3.0,0.0,29.0,7958.0,54753.0,5592.0,5.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,30.0,434.0,1479.0,1731.0,4.0,0,1,0,1,1,0
0.0,0.0,1.0,1.0,13.0,0.0,28.0,4229.0,2892.0,7672.0,4.0,0,3,2,1,1,0
0.0,0.0,0.0,1.0,2.0,0.0,27.0,4801.0,21921.0,28810.0,4.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,20.0,1798.0,32841.0,3304.0,5.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,20.0,0.0,30.0,6462.0,30894.0,92692.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,6.0,0.0,29.0,610.0,17127.0,4630.0,4.0,0,0,0,1,1,0
1.0,0.0,0.0,0.0,0.0,0.0,30.0,4625.0,105216.0,214684.0,4.0,4,1,2,1,1,1
1.0,0.0,0.0,0.0,0.0,0.0,30.0,4845.0,243285.0,592828.0,4.0,4,1,2,3,3,5
1.0,0.0,0.0,0.0,0.0,0.0,30.0,3492.0,288825.0,1040782.0,4.0,2,1,2,0,0,3
1.0,1.0,0.0,0.0,0.0,0.0,20.0,1534.0,4680.0,2498.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,335.0,3534.0,8569.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,8.0,0.0,1.0,720.0,4233.0,431.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,20.0,0.0,28.0,2865.0,6999.0,6060.0,4.0,0,1,0,1,1,0
1.0,0.0,1.0,0.0,8.0,0.0,27.0,1204.0,51498.0,87856.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,9.0,0.0,29.0,11192.0,14472.0,19788.0,4.0,0,1,0,1,1,0
0.0,0.0,1.0,1.0,15.0,0.0,30.0,27549.0,39159.0,67719.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,11.0,0.0,30.0,258.0,22482.0,145342.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,0.0,0.0,18.0,3294.0,1791.0,8075.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,1.0,0.0,17.0,1215.0,2238.0,2758.0,5.0,0,1,0,1,1,0
0.0,0.0,1.0,0.0,20.0,0.0,30.0,621.0,1443.0,405.0,4.0,0,0,1,1,1,0
1.0,1.0,0.0,0.0,11.0,0.0,30.0,1039.0,44109.0,79198.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,20.0,0.0,30.0,2370.0,2370.0,3161.0,4.0,0,3,3,1,1,0
0.0,0.0,0.0,0.0,20.0,0.0,22.0,577.0,6387.0,4422.0,5.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,3.0,0.0,30.0,12435.0,53337.0,40536.0,5.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,8.0,0.0,30.0,16538.0,183561.0,197719.0,4.0,4,1,0,3,3,1
1.0,0.0,1.0,0.0,20.0,0.0,29.0,874.0,29073.0,26002.0,5.0,0,0,0,1,1,0
1.0,1.0,0.0,0.0,8.0,0.0,30.0,8827.0,91587.0,113141.0,4.0,0,1,0,1,1,0
0.0,0.0,0.0,1.0,10.0,0.0,26.0,9102.0,1239.0,1198.0,4.0,0,4,4,1,1,0
0.0,0.0,0.0,1.0,9.0,0.0,30.0,15108.0,145512.0,544195.0,4.0,4,1,2,3,3,2
1.0,1.0,0.0,0.0,11.0,0.0,25.0,2557.0,27039.0,30422.0,4.0,0,1,0,1,1,0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,2590.0,2865.0,1172.0,4.0,0,2,1,1,1,0
0.0,0.0,0.0,1.0,2.0,0.0,26.0,1732.0,6981.0,4500.0,4.0,0,0,0,1,1,0
0.0,0.0,0.0,1.0,3.0,0.0,26.0,6473.0,4254.0,3135.0,4.0,0,2,3,1,1,0
1.0,0.0,0.0,0.0,2.0,0.0,30.0,951.0,8448.0,405.0,4.0,0,0,0,1,1,0
1.0,0.0,0.0,0.0,0.0,0.0,19.0,720.0,15819.0,16356.0,4.0,0,1,0,1,1,0
0.0,0.0,1.0,1.0,5.0,0.0,28.0,2722.0,2724.0,6216.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,13.0,0.0,22.0,643.0,8160.0,5475.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,30.0,2205.0,10167.0,39314.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,3.0,0.0,2.0,291.0,1332.0,2706.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,16.0,313.0,1056.0,1861.0,5.0,0,1,2,1,1,0
