shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs
11937285,0,0,0,0,6,0,1,566,1062,743,4,0,0.94
11953620,0,0,0,0,1,0,2,357,1062,405,5,0,0.9
11998755,0,0,0,0,6,0,7,390,38220,2576,4,0,0.84
12173895,0,0,0,0,20,0,1,247,1599,405,3.413533835,0,0.9
12211650,0,0,0,0,8,0,1,313,999,405,5,0,0.97
12350430,0,0,0,0,20,0,1,247,1014,405,0,0,0.93
12380220,0,0,0,0,20,0,1,247,1062,405,4.334586466,0,0.93
12418200,0,0,0,0,6,0,1,280,1647,405,2,0,0.88
12431250,0,0,0,0,8,0,6,302,1110,431,5,0,0.94
12458835,0,0,0,0,15,0,3,335,1116,1146,5,0,0.86
12482595,0,0,0,0,8,0,2,258,1299,405,5,0,0.9
12511755,0,0,0,0,6,0,1,709,1917,457,2,0,0.81
12577995,0,0,0,0,10,0,1,357,987,405,4.672932331,0,0.99
12590235,0,0,0,0,6,0,3,390,1014,444,5,0,0.96
12651975,0,0,0,0,20,0,1,247,1056,405,3.616541353,0,0.93
12661875,0,0,0,0,6,0,9,1072,15378,3200,4,0,0.78
12663360,0,0,0,0,6,0,1,951,4308,704,4,0,0.89
12678075,0,0,0,0,6,0,1,258,1011,405,4.808270677,0,0.95
12760335,0,0,0,0,8,0,1,764,1128,405,0,0,0.91
12766860,0,0,0,0,14,0,2,258,1008,405,4.721804511,0,1
12836025,0,0,0,0,4,0,6,764,1515,951,5,0,0.87
12914145,0,0,0,0,20,0,1,247,1050,405,4,0,0.93
12991590,0,0,0,0,6,0,1,533,1260,405,4.69924812,0,0.91
13022190,0,0,0,0,14,0,16,456,10023,1172,2,0,0.82
13084380,0,0,0,0,9,0,4,258,1365,405,3.718045113,0,0.9
13089645,0,0,0,0,6,0,1,280,1167,405,5,0,0.95
13178970,0,0,0,0,8,0,1,324,1227,405,5,0,0.95
13337595,0,0,0,0,9,0,6,313,1035,405,3,0,0.94
13402350,0,0,0,0,2,0,9,423,1161,405,4,0,0.94
13457115,0,0,0,0,1,0,1,280,1047,418,5,0,0.88
13507965,0,0,0,0,8,0,1,335,984,405,2,0,0.96
13627215,0,0,0,0,6,0,2,522,27750,405,4,0,0.89
13629780,0,0,0,0,8,0,1,247,1005,405,5,0,0.96
13688550,0,0,0,0,3,0,1,324,1035,405,5,0,0.95
13754610,0,0,0,0,8,0,3,313,1053,509,4,0,0.95
13798125,0,0,0,0,6,0,1,302,1041,405,3,0,0.89
13926330,0,0,0,0,14,0,3,423,1086,587,5,0,0.97
13972950,0,0,0,0,20,0,1,247,1392,405,0,0,0.89
14120685,0,0,0,0,20,0,1,247,1026,405,4.319548872,0,0.93
14144355,0,0,0,0,15,0,1,280,1098,418,2,0,0.94
14222790,0,0,0,0,2,0,3,291,981,405,0,0,0.89
14253210,0,0,0,0,6,0,1,247,1527,405,4,0,0.89
14253885,0,0,0,0,9,0,14,786,2589,2784,4,1,0.73
14279220,0,0,0,0,20,0,1,247,993,405,4.34962406,0,0.92
14372145,0,0,0,0,20,0,1,258,1005,405,4.860902256,0,0.95
14446845,0,0,0,0,20,0,1,852,1179,1016,5,0,0.77
14448150,0,0,0,0,20,0,1,247,1026,405,3.714285714,0,0.93
14836410,0,0,0,0,1,0,1,324,1155,626,5,0,0.85
14836590,0,0,0,0,6,0,1,346,1200,405,4,0,0.92
14919075,0,0,0,0,8,0,1,291,1911,431,4,0,0.78
14936805,0,0,0,0,8,0,1,247,1017,405,5,0,0.95
14992380,0,0,0,0,6,0,4,434,1020,431,5,0,0.97
15004665,0,0,0,0,8,0,9,654,1104,652,5,0,0.93
15053625,0,0,0,0,1,0,1,280,984,405,5,0,0.88
15057225,0,0,0,0,8,0,1,3338,7926,1341,3,0,0.73
15184035,0,0,0,0,8,0,7,577,1149,1003,5,0,0.95
15194430,0,0,0,0,8,0,12,676,1089,405,5,0,0.9
15208380,0,0,0,0,3,0,10,280,1047,405,5,0,0.96
15262830,0,0,0,0,9,0,1,478,1038,743,5,0,0.92
15304725,0,0,0,0,16,0,1,258,2124,405,3.263157895,0,0.8
15369795,0,0,0,0,20,0,1,247,975,405,0,0,0.9
15435135,0,0,0,0,8,0,1,610,2292,535,4,0,0.87
15438960,0,0,0,0,9,0,13,269,1116,1016,5,0,0.95
15483915,0,0,0,0,20,0,1,247,1143,405,0.778195489,0,0.92
15528555,0,0,0,0,6,0,1,313,1056,431,5,0,0.96
15531840,0,0,0,0,14,0,1,445,1014,444,4,0,0.98
15547320,0,0,0,0,0,0,5,456,6429,457,2,0,0.86
15548805,0,0,0,0,9,0,5,610,11715,3213,4,0,0.78
15549300,0,0,0,0,20,0,1,247,1092,405,0,0,0.93
15742485,0,0,0,0,3,0,2,258,1026,535,5,0,0.93
15925455,0,0,0,0,8,0,1,599,10305,1536,3,0,0.88
15953445,0,0,0,0,20,0,4,566,1065,405,5,0,0.94
15957270,0,0,0,0,14,0,1,335,2421,444,4,0,0.84
16098480,0,0,0,0,0,0,1,247,1140,431,5,0,0.9
16146315,0,0,0,0,3,0,4,3580,7824,1471,3,0,0.76
16164225,0,0,0,0,20,0,1,247,1026,405,3.80075188,0,0.93
16325415,0,0,0,0,20,0,5,280,1035,691,5,0,0.9
16423290,0,0,0,0,8,0,14,346,1113,704,5,0,0.91
16446735,0,0,0,0,3,0,4,280,1032,405,5,0,0.96
16470765,0,0,0,0,0,0,19,379,5271,10506,4,1,0.77
16497945,0,0,0,0,8,0,5,258,1278,405,4.248120301,0,0.88
16535205,0,0,0,0,8,0,1,1094,6324,782,3,0,0.9
16760070,0,0,0,0,6,0,1,269,1002,405,4.958646617,0,0.95
16814295,0,0,0,0,20,0,1,247,1125,405,0,0,0.93
16845885,0,0,0,0,14,0,1,291,1185,405,5,0,0.98
16967745,0,0,0,0,5,0,2,390,1443,405,5,0,0.93
17007120,0,0,0,0,8,0,2,533,1215,509,2,0,0.94
17025750,0,0,0,0,20,1,1,247,1158,405,3.635338346,0,0.9
17101125,0,0,0,0,6,0,1,247,1053,405,4.631578947,0,0.96
17111925,0,0,0,0,8,0,15,346,4686,1146,4,0,0.83
17233335,0,0,0,0,20,0,1,247,1272,405,4.417293233,0,0.89
17445645,0,0,0,0,11,0,1,555,1197,652,5,0,0.95
17511615,0,0,0,0,20,1,1,247,1266,405,4.642857143,0,0.86
17786880,0,0,0,0,6,0,3,379,1110,626,5,0,0.97
17860995,0,0,0,0,6,0,1,269,1581,431,1,0,0.88
17874180,0,0,0,0,0,0,15,346,1176,405,4,0,0.92
17917020,0,0,0,0,18,0,1,258,1164,405,4.541353383,0,0.94
18006705,0,0,0,0,8,0,5,445,1122,496,1,0,0.95
18117900,0,0,0,0,6,0,4,313,1017,405,5,0,0.97
18117990,0,0,0,0,6,0,1,313,1035,405,5,0,0.95
18144045,0,0,0,0,6,0,1,335,1059,1055,4,0,0.9
18202050,0,0,0,0,6,0,1,302,984,405,4.77443609,0,0.94
18229545,0,0,0,0,20,0,1,247,990,405,3.770676692,0,0.92
18286155,0,0,0,0,6,0,1,1754,8493,1081,4,0,0.78
18317070,0,0,0,0,4,0,4,456,1002,405,5,0,0.99
18416160,0,0,0,0,3,0,1,368,1050,483,5,0,0.95
18479565,0,0,0,0,8,0,1,280,1212,405,1,0,0.92
18501750,0,0,0,0,0,0,3,258,1131,405,4.522556391,0,0.91
18558495,0,0,0,0,8,0,3,390,1338,418,5,0,0.92
18636165,0,0,0,0,8,0,22,313,1299,899,5,0,0.81
18700335,0,0,0,0,8,0,6,621,1455,548,5,0,0.95
18780660,0,0,0,0,3,0,4,478,1524,457,4,0,0.94
18973800,0,0,0,0,8,0,2,445,1023,405,4.695488722,0,0.96
19008405,0,0,0,0,6,1,10,346,987,405,4.763157895,0,0.99
19085085,0,0,0,0,8,0,1,489,1062,405,5,0,0.95
19105875,0,0,0,0,9,0,14,335,1404,7087,5,1,0.83
19160910,0,0,0,0,9,0,2,247,1002,405,5,0,0.97
19199790,0,0,1,0,9,0,30,1941,23814,54914,4,1,0.84
19252080,0,0,0,0,14,0,3,346,2253,444,5,0,0.87
19273950,0,0,0,0,20,0,1,247,1137,405,1.469924812,0,0.92
19336770,0,0,0,0,6,0,3,764,1122,405,5,0,0.9
19456965,0,0,0,0,20,0,1,478,5631,899,4,0,0.86
19554660,0,0,0,0,3,0,1,456,1419,1042,5,0,0.92
19658475,0,0,0,0,20,0,1,258,1086,587,4.541353383,0,0.93
19670400,0,0,0,0,20,0,1,247,990,405,4.127819549,0,0.92
19920780,0,0,0,0,6,0,1,258,993,405,4.785714286,0,0.95
20026800,0,0,0,0,3,0,3,324,1356,444,5,0,0.9
20076840,0,0,0,0,3,0,3,291,1032,405,5,0,0.95
20114055,0,0,0,0,8,0,18,489,1680,8829,4,1,0.88
